95 6
96 5
12 1
13 48
15 1
17 57
18 2
19 3
45 12
51 4
95 7
96 8
12 13
13 74
15 1
17 98
18 3
19 2
45 20
50 1
51 3
96 1
12 9
13 39
15 2
17 80
18 1
19 3
30 1
45 7
51 1
95 5
96 15
12 11
13 68
15 6
17 114
18 3
19 1
30 3
45 9
50 1
51 2
95 2
96 12
12 13
13 69
15 2
17 91
18 2
19 2
45 7
50 1
51 1
95 3
96 1
12 9
13 70
17 37
19 3
30 1
45 12
50 1
95 6
96 10
12 16
13 71
15 2
17 119
19 1
30 2
45 9
51 2
95 7
96 9
12 19
13 60
15 1
17 116
19 1
30 2
45 11
50 1
51 1
95 6
96 10
12 14
13 104
15 2
17 104
18 1
19 1
30 1
45 23
51 5
95 5
96 9
12 16
13 81
15 5
17 101
19 2
27 1
30 2
45 27
51 3
95 1
96 3
12 9
13 44
15 1
17 60
19 1
30 1
45 12
50 1
51 1
95 3
96 5
12 10
13 66
15 1
17 97
19 4
30 1
45 19
50 2
51 1
95 2
96 3
12 20
13 85
15 2
17 126
18 1
19 2
30 2
45 13
50 2
51 1
95 4
96 8
12 11
13 85
15 2
17 102
19 1
30 1
45 18
50 1
95 2
96 2
12 13
13 64
15 3
17 113
19 3
45 20
50 1
51 1
95 4
96 7
12 13
13 82
15 1
17 115
19 3
30 3
45 11
51 3
95 4
96 10
12 16
13 74
15 2
17 119
18 1
19 1
30 3
45 14
95 4
96 8
12 12
13 88
15 1
17 115
18 1
19 2
30 4
45 17
51 1
95 4
96 10
12 16
13 69
15 2
16 1
17 120
18 1
30 1
45 24
51 3
95 2
96 10
12 17
13 89
17 102
30 2
45 25
51 5
95 1
96 18
12 13
13 82
15 3
17 120
19 3
30 5
45 13
51 2
95 4
96 12
12 10
13 76
15 2
17 102
18 1
19 2
30 1
45 14
50 1
51 2
54 1
96 8
12 10
13 86
15 3
17 143
18 2
19 1
30 1
45 15
51 2
95 4
96 13
12 13
13 78
15 5
17 120
18 1
19 3
30 2
45 17
51 2
95 3
96 8
12 25
13 96
15 3
17 102
19 2
30 1
