95 9
96 16
12 30
13 67
15 1
17 111
18 3
19 1
30 1
45 15
51 10
95 5
96 11
12 47
13 46
15 2
17 129
18 3
19 1
30 6
45 7
50 1
51 4
95 14
96 30
12 25
13 108
15 7
17 95
18 3
19 1
30 1
45 6
50 1
51 28
95 2
96 19
12 37
13 48
15 1
17 134
18 4
30 2
45 7
51 10
95 9
96 20
12 27
13 44
17 126
18 4
19 2
45 8
51 7
54 1
95 12
96 15
12 26
13 102
15 2
17 101
18 4
19 1
27 1
30 2
45 9
50 2
51 13
95 9
96 21
12 8
13 40
15 1
17 65
18 5
19 1
45 14
51 7
95 11
96 21
12 30
13 49
15 4
17 136
19 1
30 1
45 8
50 2
51 3
95 9
96 6
12 50
13 25
15 1
17 133
19 2
30 6
45 7
51 5
95 13
96 22
12 38
13 41
15 2
16 1
17 95
19 1
30 1
45 5
50 2
51 10
95 9
96 9
12 16
13 56
17 119
18 2
19 1
30 1
45 7
51 7
95 11
96 29
12 36
13 53
15 4
16 1
17 154
18 6
19 3
30 4
45 12
50 5
51 13
95 17
96 50
12 34
13 88
15 5
17 89
18 8
19 1
30 3
45 18
51 8
95 6
96 24
12 44
13 61
15 2
17 103
18 2
19 1
30 5
45 4
51 4
95 8
96 11
12 34
13 43
15 1
17 119
18 3
19 1
27 1
30 2
45 9
50 1
51 12
95 5
96 11
12 35
13 50
15 3
17 99
18 5
19 2
27 1
45 5
50 1
51 15
54 1
95 6
96 14
12 58
13 43
15 2
17 106
18 4
19 1
27 1
30 1
45 8
50 1
51 15
95 8
96 9
12 53
13 36
15 3
17 109
18 5
19 2
30 6
45 9
50 2
51 4
95 12
96 12
12 31
13 40
15 3
17 90
18 2
19 1
45 3
51 9
95 10
96 16
12 32
13 52
15 2
17 107
18 4
19 2
45 7
50 1
51 4
95 10
96 20
12 29
13 69
15 3
17 101
18 4
19 1
45 10
50 3
51 2
95 13
96 21
12 36
13 63
15 5
17 112
18 7
30 2
45 11
50 1
51 8
95 4
96 22
12 18
13 56
15 3
17 95
19 1
45 10
51 4
54 1
95 8
96 17
12 24
13 64
15 3
17 128
18 5
30 2
45 6
51 8
95 5
96 12
12 26
13 37
15 2
17 77
18 4
19 2
30 2
45 11
51 4
95 12
96 17
12 32
13 62
15 1
17 101
18 4
19 1
27 1
30 1
45 16
51 2
95 9
96 11
12 35
13 54
15 3
17 124
18 3
19 3
30 2
45 9
50 1
51 2
95 5
96 21
12 44
13 50
15 5
17 100
18 5
30 2
45 6
50 2
51 7
95 4
96 21
12 47
13 55
15 3
17 112
18 5
19 1
27 1
45 7
50 1
51 3
95 10
96 25
12 40
13 44
15 4
17 129
18 6
19 4
30 1
45 11
51 1
95 5
96 22
12 40
13 55
15 2
17 119
18 4
27 1
30 9
45 10
50 2
51 4
95 12
96 11
12 35
13 57
17 114
18 3
19 1
30 1
45 10
50 1
51 8
54 1
95 13
96 21
12 37
13 58
15 3
17 105
18 2
19 1
30 1
45 14
50 1
51 9
95 6
96 16
12 37
13 46
16 2
17 123
18 5
30 2
45 5
50 2
51 2
95 11
96 21
12 38
13 70
15 1
17 107
18 2
19 4
30 2
45 12
50 1
51 4
95 10
96 26
12 35
13 58
15 2
17 118
18 5
19 2
30 6
45 8
50 1
51 1
95 10
96 15
12 28
13 51
15 4
17 91
18 2
30 1
45 9
50 2
51 5
95 10
96 14
12 16
13 52
15 1
17 68
18 5
30 1
45 11
51 10
95 13
96 16
12 37
13 87
15 2
17 102
18 3
19 1
45 5
50 1
51 6
95 10
96 23
12 40
13 67
15 5
17 124
18 4
19 1
30 1
45 15
50 1
51 8
95 12
96 22
12 29
13 82
15 3
17 122
18 4
19 1
27 1
30 3
45 5
51 6
95 6
96 26
12 34
13 73
15 3
17 124
18 2
19 1
45 14
50 2
51 5
95 14
96 16
12 38
13 64
15 4
17 121
18 5
27 1
45 11
50 3
51 8
95 11
96 22
12 34
13 61
15 5
17 119
18 6
19 4
30 3
45 10
51 13
54 1
95 7
96 21
12 30
13 65
15 2
17 125
18 7
30 3
45 11
50 3
51 11
95 3
96 22
12 25
13 73
15 1
17 141
18 2
19 3
27 1
30 6
45 11
50 2
51 3
95 8
96 17
12 38
13 53
15 2
17 151
18 4
19 2
27 1
30 4
45 8
50 3
95 9
96 13
12 17
13 51
15 1
17 120
18 1
19 1
30 7
45 3
95 1
96 18
12 36
13 60
15 5
17 143
18 3
19 3
30 1
45 5
50 1
54 1
95 17
96 31
12 22
13 118
15 2
17 77
18 2
19 3
45 22
51 13
95 8
96 28
12 30
13 97
15 5
17 93
18 6
19 3
27 1
30 1
45 13
50 2
51 18
95 3
96 13
12 19
13 27
15 1
16 1
17 139
27 1
30 2
45 4
51 3
95 6
96 22
12 28
13 33
15 1
17 195
18 3
30 3
45 6
50 1
51 6
95 7
96 9
12 26
13 36
17 188
18 4
30 3
45 2
50 2
51 5
95 10
96 19
12 32
13 23
17 184
18 1
19 1
30 3
45 3
50 4
51 4
95 5
96 16
12 20
13 29
15 3
17 193
18 2
30 5
45 13
51 4
95 13
96 20
12 33
13 23
17 192
18 2
19 1
27 1
30 3
45 4
50 1
51 6
95 4
96 11
12 16
13 24
15 1
17 173
18 1
19 1
30 3
45 3
50 3
51 5
95 5
96 12
12 31
13 26
17 182
19 3
30 2
45 4
50 1
51 5
95 7
96 15
12 28
13 33
15 2
17 203
18 2
19 3
45 6
50 1
51 5
95 4
96 4
12 16
13 18
15 1
17 136
18 2
19 1
30 2
45 8
50 2
51 2
95 4
96 14
12 24
13 28
15 1
17 189
18 2
19 1
30 2
45 2
50 2
51 6
95 4
96 5
12 11
13 21
15 1
17 118
18 1
30 3
50 1
51 4
95 5
96 20
12 25
13 37
15 2
17 203
30 1
45 10
51 2
95 7
96 10
12 32
13 26
15 2
17 183
18 3
19 1
30 3
45 5
50 1
51 5
95 6
96 21
12 22
13 29
15 1
17 187
18 1
19 3
30 4
45 4
50 1
51 4
95 5
96 11
12 25
13 20
15 3
17 187
30 1
45 9
51 2
95 3
96 9
12 26
13 35
17 214
18 2
19 1
30 6
45 6
51 3
95 5
96 13
12 31
13 35
15 2
17 207
18 1
19 1
30 3
45 10
50 2
51 1
54 1
95 5
96 10
12 26
13 27
17 151
18 2
30 5
45 5
51 6
95 11
96 16
12 28
13 36
15 2
17 184
18 3
19 2
30 4
45 6
50 1
51 7
95 8
96 11
12 14
13 31
15 2
17 168
18 1
30 2
45 2
50 1
51 2
95 8
96 14
12 22
13 46
15 3
17 213
18 4
19 4
30 2
45 4
50 2
51 6
95 1
96 5
12 20
13 14
17 163
18 2
30 5
45 3
50 2
51 7
95 9
96 33
12 22
13 47
15 2
17 152
18 2
30 1
45 4
51 3
95 9
96 11
12 16
13 30
15 1
17 186
45 6
50 4
51 8
95 3
96 19
12 25
13 29
15 2
16 1
17 193
18 2
30 2
45 7
50 4
51 7
95 6
96 14
12 23
13 22
15 3
17 182
18 4
30 3
45 1
50 1
51 7
95 6
96 20
12 24
13 24
16 1
17 216
18 3
30 5
45 9
50 2
51 9
95 8
96 17
12 26
13 28
15 1
16 1
17 184
18 1
19 3
30 6
45 2
51 3
95 6
96 15
12 25
13 29
17 190
18 6
27 2
30 3
45 5
50 1
51 8
95 3
96 5
12 16
13 17
15 1
17 165
30 3
45 2
51 3
95 4
96 11
12 17
13 26
17 165
18 1
30 6
45 5
50 1
51 9
95 2
96 15
12 26
13 24
17 207
18 3
19 2
30 4
45 4
50 1
51 6
95 8
96 12
12 22
13 51
15 1
16 1
17 182
18 1
19 2
30 1
45 3
50 2
51 7
95 2
96 8
12 11
13 12
17 82
19 1
45 2
50 1
51 5
95 5
96 14
12 29
13 27
15 4
17 170
18 1
30 4
45 7
51 7
95 4
96 5
12 10
13 21
15 1
17 123
45 7
50 2
51 5
95 3
96 18
12 23
13 43
17 168
18 1
30 4
45 3
51 4
95 3
96 10
12 26
13 37
15 1
17 201
18 3
30 6
45 7
50 1
51 6
95 7
96 14
12 19
13 32
15 1
17 210
18 2
19 1
30 4
45 7
51 7
95 8
96 20
12 22
13 31
16 1
17 172
18 6
19 1
27 1
30 3
45 4
50 2
51 11
95 3
96 8
12 27
13 21
15 1
17 137
18 1
30 1
45 5
50 1
51 6
95 3
96 9
12 24
13 23
15 2
17 145
18 2
30 5
45 9
50 1
51 1
95 8
96 8
12 24
13 29
15 1
17 178
18 3
30 4
45 6
50 1
51 10
95 7
96 16
12 33
13 38
17 187
18 2
19 1
27 1
45 9
50 3
51 3
95 4
96 14
12 19
13 26
15 2
17 200
18 3
19 1
30 4
45 4
