13 8
17 15
18 1
96 1
12 2
13 14
17 15
45 1
95 5
96 2
12 22
13 20
15 1
17 164
18 4
19 1
30 21
45 3
95 4
96 1
12 19
13 9
15 2
17 94
18 1
30 17
45 3
50 1
51 2
54 1
95 2
12 23
13 12
17 123
18 3
30 20
45 1
50 1
95 3
96 1
12 20
13 5
15 1
17 104
18 2
19 1
30 37
45 3
50 2
54 1
12 6
13 2
17 6
50 1
95 11
96 6
12 29
13 221
15 3
16 6
17 99
18 12
19 6
27 1
30 9
45 10
50 4
51 7
96 1
12 3
13 2
17 12
18 1
30 2
45 1
51 1
95 7
96 13
12 23
13 50
15 10
16 2
17 252
18 14
19 5
30 6
45 22
50 2
51 5
54 2
95 11
96 2
12 20
13 18
15 3
17 162
18 6
19 7
30 5
45 8
50 1
51 1
54 1
95 15
96 11
12 37
13 43
15 2
16 1
17 307
18 3
19 10
30 10
45 18
51 3
95 28
96 4
12 40
13 38
15 3
17 304
18 9
19 8
30 9
45 18
50 1
51 4
54 1
95 5
96 7
12 33
13 24
15 1
16 1
17 161
18 11
19 6
30 14
45 11
50 2
51 2
54 1
95 2
96 5
12 16
13 7
15 5
16 2
17 78
18 3
19 4
27 1
30 8
45 5
50 3
54 1
95 1
96 1
12 10
13 11
17 48
18 3
30 1
45 3
50 1
95 12
96 5
12 90
13 65
15 1
17 110
18 16
19 4
27 1
30 29
45 4
50 2
51 1
95 11
96 10
12 129
13 58
16 2
17 127
18 11
19 3
27 1
30 33
45 15
50 7
51 2
95 8
96 12
12 85
13 38
15 5
17 115
18 15
19 4
30 25
45 14
50 8
51 1
54 1
95 9
96 15
12 58
13 34
16 2
17 90
18 9
19 2
30 30
45 4
50 4
51 1
95 7
96 3
12 44
13 27
15 1
17 81
18 10
19 2
30 9
45 7
50 1
51 1
95 15
96 10
12 69
13 42
15 2
17 112
18 14
19 3
30 15
45 4
50 10
51 1
95 6
96 8
12 16
13 18
15 1
16 2
17 87
18 6
30 12
45 4
50 2
95 7
96 8
12 22
13 99
17 113
18 1
19 2
30 8
45 52
54 1
95 11
96 3
12 16
13 100
15 4
17 169
18 7
19 5
27 1
30 9
45 4
50 4
51 3
95 5
96 4
12 22
13 129
15 6
16 3
17 206
18 7
19 4
30 6
45 8
50 2
51 1
95 8
96 5
12 18
13 98
15 4
17 123
18 4
19 4
30 5
45 3
51 1
95 14
96 7
12 14
13 105
15 1
16 1
17 140
18 3
19 3
30 4
45 4
50 3
51 6
95 4
96 9
12 14
13 122
15 4
16 1
17 159
19 3
27 1
30 15
45 5
51 4
54 1
95 9
96 7
12 17
13 149
17 128
18 1
19 3
30 21
45 54
51 6
54 1
12 14
13 5
17 12
30 2
45 1
50 1
95 8
96 7
12 143
13 61
15 1
16 1
17 65
18 17
19 3
27 1
30 36
45 3
50 15
51 2
54 1
95 3
96 10
12 103
13 69
15 1
17 65
18 14
19 1
30 26
45 13
50 8
51 1
95 9
96 5
12 93
13 82
15 2
17 79
18 21
30 19
45 14
50 4
95 4
96 9
12 84
13 63
16 1
17 52
18 17
30 19
45 7
50 5
54 1
95 4
96 7
12 102
13 68
17 65
18 9
19 2
30 25
45 7
50 7
51 1
95 4
96 8
12 185
13 66
15 6
16 2
17 60
18 20
19 1
30 38
45 8
50 16
51 2
95 6
96 7
12 65
13 60
15 3
17 58
18 10
19 1
30 17
45 6
50 7
51 1
95 2
96 3
12 34
13 18
17 29
18 4
30 2
45 6
50 1
51 2
95 1
96 1
12 51
13 36
15 1
16 1
17 70
18 11
19 2
27 1
30 22
45 4
50 4
95 3
96 6
12 106
13 35
15 1
17 95
18 16
19 2
30 20
45 5
50 7
51 2
12 1
13 11
17 17
30 1
95 3
96 3
12 46
13 17
16 1
17 92
18 5
19 3
27 1
30 13
45 10
51 2
95 12
96 2
12 59
13 35
15 1
16 1
17 133
18 5
19 6
30 22
45 16
50 2
95 7
96 5
12 36
13 27
15 1
16 1
17 427
18 5
30 23
45 2
50 1
51 6
95 4
96 10
12 14
13 23
17 275
18 5
19 2
30 7
45 1
50 1
51 4
95 5
96 6
12 15
13 20
15 1
17 237
18 1
19 4
30 15
45 3
51 1
95 3
96 2
12 16
13 14
15 2
17 256
18 3
19 3
30 9
50 1
51 3
95 1
96 3
12 11
13 5
17 168
18 3
19 1
30 1
45 1
51 1
95 3
12 20
13 17
15 2
17 221
18 6
19 1
30 5
45 2
51 2
95 5
96 5
12 23
13 8
16 3
17 260
18 5
19 4
27 1
30 20
45 2
95 4
96 5
12 21
13 18
15 1
17 217
18 8
30 9
45 1
51 1
95 1
96 5
12 23
13 16
15 2
17 248
18 2
30 11
45 3
50 1
95 2
96 1
12 7
13 4
17 114
18 3
30 1
51 1
95 4
96 3
12 27
13 16
17 180
18 2
30 10
45 8
50 1
51 2
95 5
96 6
12 40
13 14
15 1
17 243
18 7
19 1
30 14
45 6
51 1
54 1
95 7
96 5
12 18
13 9
15 1
16 1
17 221
18 2
19 1
30 10
45 5
50 2
51 1
95 1
96 1
12 26
13 19
17 212
18 3
30 12
45 4
51 2
95 3
96 3
12 20
13 27
17 209
18 3
30 12
45 5
50 1
51 1
95 4
96 7
12 13
13 15
17 207
18 4
19 2
30 6
45 7
50 2
51 3
95 4
96 6
12 17
13 8
15 1
17 227
18 4
30 10
45 4
51 4
95 3
96 1
12 15
13 18
15 2
17 236
18 1
30 6
45 3
50 2
95 8
96 7
12 26
13 14
15 1
16 1
17 237
18 5
19 1
30 10
45 4
51 1
95 7
96 2
12 19
13 15
15 2
17 245
18 2
19 1
30 11
45 5
51 2
95 6
96 2
12 25
13 27
17 212
18 2
19 3
30 8
45 3
50 1
51 2
95 3
96 11
12 20
13 30
15 1
17 230
18 5
19 5
30 15
45 7
50 1
51 2
95 3
96 4
12 23
13 12
17 203
18 3
19 3
30 9
45 4
51 3
95 3
96 7
12 21
13 16
15 2
17 224
18 3
19 1
30 13
45 3
50 2
51 4
95 4
96 2
12 12
13 15
17 229
18 2
19 2
30 13
45 4
50 2
51 1
95 4
96 6
12 22
13 21
15 1
16 1
17 186
18 3
19 1
30 9
45 5
50 3
51 1
95 4
96 2
12 23
13 20
15 1
17 227
18 3
19 1
30 14
45 3
95 3
96 2
12 18
13 18
15 1
17 199
18 3
19 2
30 9
45 7
51 1
95 2
96 3
12 14
13 15
15 1
17 228
18 3
19 3
30 9
45 3
51 1
95 4
96 1
12 15
13 10
15 3
16 1
17 229
18 4
19 7
30 8
45 4
95 8
96 5
12 15
13 18
15 1
17 241
18 4
19 4
30 10
45 7
95 4
96 14
12 14
13 17
15 1
17 241
18 6
19 1
30 5
45 3
50 2
51 1
95 7
96 5
12 16
13 14
15 1
17 225
18 6
19 2
30 10
51 1
95 2
96 4
12 14
13 15
15 1
16 1
17 244
18 6
19 3
30 15
45 8
51 1
95 3
96 4
12 14
13 19
17 255
18 4
19 2
30 9
45 9
50 2
51 1
54 1
95 7
96 6
12 14
13 13
15 2
17 261
18 2
19 4
30 19
45 3
51 2
95 6
96 6
12 19
13 14
15 1
17 229
18 1
30 10
45 2
95 5
96 2
12 19
13 21
17 261
18 3
19 1
30 10
45 8
51 1
95 1
96 2
12 24
13 21
15 1
17 259
18 5
19 2
30 7
45 3
95 2
96 8
12 21
13 15
15 1
17 267
18 2
19 3
30 8
45 2
51 2
95 6
96 4
12 24
13 21
15 2
16 1
17 243
18 3
19 2
30 13
45 2
50 1
51 2
95 2
96 1
12 24
13 15
15 2
17 205
19 1
30 8
45 8
51 1
95 6
96 1
12 8
13 13
17 223
18 6
19 3
30 10
45 5
51 1
95 5
96 5
12 31
13 30
16 1
17 305
18 3
19 3
30 14
45 6
50 1
51 2
95 2
96 3
12 15
13 6
17 179
18 6
19 1
30 1
45 3
51 1
95 4
96 5
12 21
13 12
15 1
17 222
18 8
19 3
30 12
45 4
50 1
51 1
95 9
96 14
12 55
13 62
15 2
16 1
17 164
18 11
19 5
30 29
45 12
50 1
51 3
95 13
96 7
12 68
13 49
15 1
17 190
18 16
19 3
30 32
45 9
50 4
51 1
95 19
96 9
12 51
13 46
17 170
18 15
19 4
30 29
45 4
50 3
51 4
95 9
96 6
12 63
13 40
15 2
17 173
18 9
19 3
30 31
45 8
50 4
51 5
95 8
96 7
12 101
13 49
15 3
16 1
17 187
18 14
19 2
30 25
45 16
50 5
51 8
12 29
13 10
17 46
18 4
30 13
45 5
95 1
96 1
12 4
13 3
17 11
19 1
30 2
45 2
95 2
96 2
12 31
13 16
17 54
18 2
19 5
30 18
45 2
50 1
51 1
95 11
96 5
12 54
13 102
15 1
16 6
17 117
18 17
19 5
27 2
30 9
45 21
50 4
51 5
95 6
96 10
12 91
13 110
15 4
17 191
18 15
19 6
27 1
30 20
45 14
50 8
51 2
54 1
95 9
96 3
12 102
13 107
15 4
16 2
17 144
18 16
19 6
27 2
30 21
45 22
50 3
51 2
54 1
95 7
96 3
12 81
13 103
15 3
17 146
18 8
19 6
30 17
45 22
50 4
51 1
95 9
96 5
12 81
13 88
15 4
16 2
17 135
18 11
19 6
27 1
30 20
45 15
50 4
51 1
95 15
96 8
12 79
13 99
15 1
16 1
17 140
18 14
19 4
27 1
30 23
45 15
50 2
51 2
54 1
95 9
96 8
12 58
13 76
15 3
16 1
17 119
18 17
19 9
27 1
30 18
45 15
50 9
51 1
95 13
96 4
12 65
13 112
17 128
18 12
19 4
27 3
30 17
45 18
50 7
51 2
95 7
96 8
12 8
13 67
15 2
16 1
17 103
18 9
19 2
30 1
45 17
51 9
54 1
95 13
96 17
12 24
13 86
15 4
16 2
17 189
18 9
19 4
30 2
45 20
50 1
51 7
54 1
95 22
96 17
12 24
13 68
15 4
17 149
18 17
19 7
30 3
45 17
50 3
51 7
54 1
95 24
96 16
12 17
13 63
15 4
16 2
17 176
18 16
19 8
27 1
45 13
51 8
95 20
96 22
12 18
13 72
15 4
16 1
17 195
18 22
19 6
27 1
30 2
45 15
50 1
51 10
95 1
96 1
12 19
13 6
17 21
18 1
19 4
30 2
95 7
96 1
12 23
13 15
17 57
18 5
19 3
30 17
45 7
96 1
12 10
13 6
17 24
18 4
30 5
45 1
50 1
95 5
96 4
12 31
13 17
17 100
18 8
19 5
30 38
45 9
50 2
51 2
95 6
96 3
12 30
13 11
15 1
17 71
18 9
19 3
30 30
45 4
50 1
95 9
96 5
12 53
13 20
15 1
17 157
18 10
19 3
30 51
45 15
50 3
51 1
96 1
12 10
13 7
15 1
17 65
30 1
45 6
50 1
96 1
12 12
13 20
17 144
18 3
19 2
30 4
45 7
95 1
12 13
13 19
15 1
16 1
17 95
18 2
30 8
45 16
51 2
54 1
95 2
96 8
12 33
13 12
17 114
18 5
19 2
30 36
45 10
50 1
51 1
95 4
96 4
12 28
13 19
17 88
18 4
19 2
30 21
45 6
50 2
51 1
95 1
96 5
12 26
13 11
17 97
18 5
19 1
30 32
45 9
50 1
51 1
54 1
95 3
96 1
12 27
13 16
15 2
16 1
17 94
18 5
30 19
45 7
51 1
95 1
12 26
13 12
17 76
18 5
19 2
30 23
45 10
51 2
96 1
12 29
13 13
15 4
17 82
18 5
19 1
30 27
45 6
50 2
95 2
96 2
12 31
13 25
15 4
17 130
18 7
19 1
30 21
45 6
51 1
95 3
96 3
12 35
13 12
17 122
18 5
19 1
30 24
45 13
96 1
12 31
13 22
15 3
17 88
18 2
19 2
27 1
30 21
45 8
95 2
96 2
12 28
13 8
17 113
18 7
30 29
45 11
50 1
51 1
95 1
96 1
12 1
13 2
17 8
18 1
19 1
96 2
12 35
13 13
17 56
18 6
30 17
45 4
51 2
95 3
96 1
12 50
13 6
17 120
18 5
19 2
30 59
45 13
51 1
95 6
96 4
12 4
13 10
15 1
17 190
18 1
19 4
27 1
30 2
45 6
95 9
96 10
12 12
13 30
15 5
16 2
17 400
18 3
19 9
30 4
45 16
51 2
95 7
96 6
12 12
13 24
15 2
16 1
17 323
18 3
19 9
27 1
45 7
54 1
95 11
96 9
12 13
13 26
16 1
17 346
18 1
19 9
45 7
95 4
96 17
12 3
13 15
15 3
17 367
18 2
19 8
30 2
45 10
95 14
96 11
12 19
13 21
15 5
17 401
18 1
19 5
30 3
45 11
96 1
12 2
13 6
17 29
18 1
19 2
45 5
95 2
96 1
12 15
13 14
15 1
17 85
18 3
19 1
30 3
45 7
51 1
54 1
95 3
96 1
17 34
30 2
45 3
95 8
96 4
12 82
13 55
15 3
17 68
18 13
19 2
30 24
45 10
50 5
51 3
95 14
96 9
12 142
13 63
15 3
17 76
18 18
19 3
30 39
45 8
50 11
95 7
96 5
12 52
13 107
15 2
16 2
17 122
18 12
19 3
30 9
45 18
50 2
51 2
96 1
12 6
13 18
15 2
17 27
18 1
19 2
27 1
30 2
12 3
13 2
17 26
18 5
30 4
45 1
95 2
12 7
13 17
17 165
18 5
19 1
30 21
45 4
50 1
51 2
95 9
96 16
12 109
13 41
15 2
17 126
18 13
19 2
30 55
45 8
50 11
51 1
54 1
95 4
96 5
12 113
13 27
17 110
18 8
19 2
30 38
45 7
50 7
95 6
96 11
12 147
13 19
17 130
18 16
19 3
30 52
45 7
50 4
51 1
54 1
95 1
96 4
12 4
13 16
17 88
45 4
54 1
95 10
96 6
12 69
13 44
17 73
18 10
19 1
30 39
45 9
50 2
51 4
54 2
95 11
96 6
12 88
13 51
15 2
17 105
18 21
19 6
30 39
45 13
50 7
51 3
54 1
95 2
96 4
12 37
13 35
17 47
18 13
19 2
30 20
45 8
50 4
51 3
95 10
96 6
12 122
13 61
17 80
18 18
